clip	phoneme	word	mid	site_f0	site_f1	site_f2	site_f3	site_res	trk_p	trk_f1	trk_f2	trk_f3
all	AH1	public	12.14	109.46	667.67	1123.16	2742.1	0.61685	111.794	762.7695	2767.175	3437.63
all	B	public	12.205	99.46	249.8	1070.38	2677.64	0.20834	99.0315	363.509	1238.19	2691.9700000000003
all	IH0	public	12.315	98.47	390.42	1165.29	2527.63	0.33172	101.5675	439.1235	1345.075	2714.66
all	L	lies	12.48	114.54	349.69	902.91	2652.58	0.16678	121.061	400.179	992.961	2753.91
all	AY1	lies	12.705	102.17	741.14	1503.92	2690.56	0.42481	101.9075	630.5685	1703.04	2755.8450000000003
all	IY1	he's	14.11	130.15	272.24	2113.74	2952.37	0.31266	130.818	265.297	1975.05	3064.39
all	Z	he's	14.235	116.5	137.89	1918.25	2958.5	0.26378	122.352	233.125	2012.99	3260.18
all	L	belligerent	14.445	111.79	325.15	1121.43	2615.99	0.18709	115.15350000000001	342.951	1300.49	2620.49
all	IH1	belligerent	14.535	116.47	386.51	1542.43	2564.76	0.20982	116.9125	369.33349999999996	1531.755	2648.36
all	AH0	belligerent	14.775	113.06	431.28	1624.34	2485.49	0.48233	112.606	406.2315	1699.955	2564.815
all	N	belligerent	14.855		223.08	1303.92	2695.36	0.18739	144.6155	244.699	1852.08	2849.45
all	N	in	16.17	104.98	304.61	1744.53	2131.4	0.40295	100.20615000000001	459.4845	1793.35	3086.4049999999997
all	AH0	a	16.244999999999997	113.77	615.97	1575.51	3063.74	0.75309	99.4008	471.775	1645.49	3026.24
all	AH1	funk	16.47		689.11	1387.05	2979.03	0.76789	96.91155	648.4755	1379.895	2989.755
all	NG	funk	16.58		335.47	1162.8	2467.65	0.37049	64.53245	392.729	1495.63	2992.43
all	IY1	he	17.335	136.6	296.98	2597.28	2909.49	0.44876	137.8855	315.5	2662.63	3351.73
all	EY1	fades	17.595		473.73	2348.83	2891.9	0.55392	130.259	490.082	2192.38	2854.92
all	D	fades	17.740000000000002		230.34	1809.45	2472.58	0.33802	163.29199999999997	317.866	2092.61	2795.49
all	W	world	17.97		286.09	1035.65	2732.88	0.25457	86.5303	417.975	1240.115	2712.3999999999996
all	L	world	18.134999999999998		564.26	1045.06	2762.68	0.55325	99.22025	611.451	1169.86	2743.17
all	IY1	teeters	18.45	130.1	370.26	2484.47	2856.69	0.56108	138.106	330.332	2515.98	2892.06
all	ER0	teeters	18.63		515.08	1651.29	2076.34	0.65003	93.78325	508.973	1783.53	2378.2
all	IH1	when	19.37	170.33	412.0	1774.73	2755.18	0.17608	167.576	305.2095	1386.205	2802.59
all	N	when	19.42	165.87	296.33	1517.35	2948.76	0.3428	167.56099999999998	220.543	1612.79	2637.11
all	IY1	she	19.645	175.41	287.35	2610.76	2926.85	0.43375	174.9995	280.53999999999996	2195.9849999999997	2714.7799999999997
all	AY1	crime	20.545	142.22	819.53	1686.73	2951.11	0.62981	141.469	691.972	1613.685	2885.6949999999997
all	M	crime	20.66	128.92	277.69	1588.72	2700.68	0.41814	128.49599999999998	245.596	1589.94	2749.72
all	B	blossoms	20.72		162.97	1629.12	2685.12	0.2423	127.18199999999999	217.15550000000002	1520.715	2688.62
all	AA1	blossoms	20.869999999999997		731.14	1241.32	2754.66	0.59972	121.775	614.3965000000001	1186.9250000000002	2721.5299999999997
all	S	blossoms	20.990000000000002		1089.49	1806.02	2593.73	0.53057	132.2495	656.565	1698.1399999999999	2766.965
all	M	blossoms	21.195	86.05	290.61	1522.77	2277.07	0.42393	85.9324	237.59	1613.84	2661.84
all	Z	blossoms	21.335		691.45	1842.78	2572.67	0.4981	142.226	348.1985	1612.425	2641.49
all	OW1	o	21.814999999999998	133.72	595.93	1347.68	2825.81	0.71039	130.7535	554.605	1327.49	2809.81
all	HH	how	22.005		882.57	1493.7	2809.63	0.7206	118.18350000000001	454.465	1290.2	2806.97
all	DH	the	22.165		544.25	1587.78	2813.48	0.69402	112.468	325.747	1618.64	2700.56
all	IY0	the	22.245		367.46	2408.18	2700.29	0.56014	114.86449999999999	381.586	2418.665	3111.29
all	P	operatic	22.46		684.85	1390.7	2739.28	0.52736	113.2	546.912	1449.74	2705.52
all	AE1	operatic	22.665	112.88	695.4	1626.81	2791.31	0.47277	113.838	684.3145	1617.775	2749.34
all	IH0	operatic	22.77	111.1	473.35	2343.06	2881.55	0.74407	118.7555	455.8645	1876.795	2802.6
all	IH0	impulse	22.935000000000002	117.58	483.17	2005.77	2706.13	0.56498	286.215	412.261	1811.83	2687.02
all	M	impulse	23.025	119.09	285.06	1310.45	2613.7	0.36351	118.011	255.284	1354.49	2635.21
all	P	impulse	23.115000000000002		596.75	1125.12	2725.49	0.41486	116.4185	335.612	1279.2	2665.03
all	L	impulse	23.265	124.19	563.62	903.5	2761.4	0.51332	125.59700000000001	577.533	2399.995	3569.7
all	P	dip	24.814999999999998		355.61	2074.54	2887.37	0.4369	187.134	424.184	2073.69	2884.79
all	P	deep	25.155		853.39	1702.67	2737.86	0.70399	195.7995	973.495	1769.83	2918.62
all	AY1	my	25.36	107.76	721.12	2018.74	2932.49	0.59886	109.223	477.047	2022.05	2945.02
all	D	darling	25.465		595.85	2051.55	3132.68	0.7982	208.919	524.096	1787.625	2886.0699999999997
all	AA1	darling	25.564999999999998	201.68	653.7	1524.47	2698.52	0.61059	204.886	572.582	1467.14	2694.93
all	R	darling	25.66	192.51	571.27	1357.24	2643.83	0.60923	197.99099999999999	487.767	1311.3	2424.39
all	L	darling	25.73	175.61	244.13	1325.15	2945.17	0.11188	183.743	248.0335	1316.5900000000001	2732.34
all	IH0	darling	25.795	186.73	469.43	2175.67	2992.19	0.70081	185.105	349.388	1836.38	2936.35
all	NG	darling	25.925	175.56	201.45	820.06	2509.44	0.07843	177.311	249.228	1712.27	2712.09
all	IH1	into	26.095	227.01	341.5	2404.3	3010.66	0.3144	265.53	411.33950000000004	2286.715	2998.98
all	N	into	26.18	196.61	249.65	1079.02	2761.9	0.18036	197.1215	239.991	1261.81	2852.53
all	T	into	26.240000000000002		993.55	2210.69	3237.06	0.89965	175.445	946.23	2232.33	3295.32
all	AH1	the	26.415	189.7	519.98	1336.62	2884.76	0.55332	194.779	482.78	1430.25	2902.86
all	B	blank	26.490000000000002		629.99	1173.89	2256.65	0.63495	179.632	482.78	1394.23	2658.66
all	AE1	blank	26.625	171.39	712.12	1717.99	2849.21	0.52215	171.32999999999998	257.3215	1588.74	2784.24
all	NG	blank	26.705	164.49	236.1	1196.31	2533.84	0.205	170.277	1565.51	2504.91	2825.7
